Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
New England Wildlife Center in Weymouth,Weymouth,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $100,000 shall be expended to the New England Wildlife Center, Inc. in the city known as the town of Weymouth"
New Firestation Feasibility Study,Malden,75000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992032,"provided further, that not less than $75,000 shall be expended to the city of Malden for a feasibility study on the establishment of a fire station in eastern Malden"
New Hope Domestic Violence Shelter,Attleboro,300000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $300,000 shall be expended to New Hope, Inc. in the city of Attleboro for development of a domestic violence shelter and services to support survivors of domestic violence"
New North Citizens Council Youth Workforce,Springfield,100000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $100,000 shall be expended to the New North Citizens Council, Inc., in the city of Springfield to support their youth workforce development programs and COVID-19 housing stabilization programs"
New Town Salt Shed,Norfolk,50000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992032,"provided further, that not less than $50,000 shall be expended for a new town salt shed in the town of Norfolk"
New Town Water Well,Plainville,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended to the town of Plainville for a new water well"
Newton - Needham Bicycle and Pedestrian Path,Needham,200000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $200,000 shall be expended for a feasibility and preliminary design study for a bicycle and pedestrian trail between the town of Needham and the city of Newton via a new community bridge spanning state highway route 128, the existing rail bridge spanning the Charles river and connecting to the Newton Upper Falls Greenway and Needham Heights"
Newton First Baptist Church Upgrade,Newton,125000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $125,000 shall be expended for upgrading ventilation at the historic First Baptist Church in Newton with a fresh air circulation and air purification system"
"No Books, No Ball Basketball Program",Boston,50000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended to No Books, No Ball Basketball Program, a non-profit corporation for after school and summer programming for students disproportionately impacted by the 2019 novel coronavirus"
Nonantum Neighborhood Association,Newton,25000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $25,000 shall be expended for the Nonantum Neighborhood Association"
Norfolk Wastewater Treatment Center,Norfolk,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended to the town of Norfolk for development of a town center wastewater treatment plant"
North Andover Community Support Coordinators,North Andover,100000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $100,000 shall be expended for continued investment in North Andover’s community support coordinators, in order to respond to the increase in mental health, substance use disorder, and domestic violence escalations resulting from the 2019 novel coronavirus pandemic"
North Attleborough High School Robotics Program,North Attleborough,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for North Attleborough school department to purchase equipment to facilitate the startup of a robotics program"
North Bristol County Assistance Collaborative Shelter to Permanent Housing,Bristol County,125000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $125,000 shall be expended to North Bristol County Assistance Collaborative for the continued production of an innovative crisis shelter to permanent supportive housing facility for chronically homeless individuals, addressing the public health emergency of homelessness, exacerbated by 2019 novel coronavirus, due to densely populated congregate shelters and growing encampments of unsheltered individuals"
North Brookfield Townhouse,North Brookfield,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for North Brookfield townhouse renovations"
North Central Education Compact,Fitchburg,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $150,000 shall be expended to the North Central Massachusetts Chamber Foundation, Inc. to hire a business and education liaison to facilitate business and education partnerships"
North Shore Blue Economy Initiative,North Shore,200000,EEA - Executive Office Of Environmental Affairs,max.j.tassinari@mass.gov,20000103,"provided further, that not less than $200,000 shall be expended for the North Shore Blue Economy initiative"
North Street Bridge in Ware,Ware,300000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $300,000 shall be expended for the reconstruction of the North Street bridge in the town Ware"
Northampton Arts Trust,Northampton,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for the Northampton Arts Trust for the completion of its black box theater"
Northampton Chamber of Commerce,Northampton,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the Northampton Chamber of Commerce, Inc. to procure rapid COVID-19 test kits for use by area businesses so that they may remain open safely"
Northbridge Public Safety Broadband Infrastructure Improvements,Northbridge,100000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,70100013,"provided further, that not less than $100,000 shall be expended for town of Northbridge for public safety broadband infrastructure improvements"
Norton Point Beach Dune Restoration in Edgartown,Edgartown,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $100,000 shall be expended to nourish and restore beach dunes and restore coastal habitat on Norton point beach in the town of Edgartown"
Norwell Water Department PFAS Mitigation,Norwell,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the town of Norwell water department for perfluoroalkyl and polyfluoroalkyl substances mitigation"
